account_id,customer_id,account_type,account_number,current_balance,open_date,interest_rate,status
ACC000001,CUST000001,Checking,804099915141,6314.26,2025-03-27,0.0001,Active
ACC000002,CUST000002,Checking,347429636412,2673.32,2025-05-16,0.0001,Active
ACC000003,CUST000003,Checking,392453960424,3738.16,2025-07-23,0.0001,Active
ACC000004,CUST000004,Checking,539685276820,6478.33,2019-12-28,0.0001,Active
ACC000005,CUST000004,Savings,466142809702,16005.78,2018-09-08,0.0102,Active
ACC000006,CUST000004,Checking,351591175331,7699.54,2018-06-03,0.0001,Active
ACC000007,CUST000004,Checking,086043775872,1657.05,2020-06-05,0.0001,Active
ACC000008,CUST000005,Checking,533300325696,0.0,2016-08-19,0.0001,Active
ACC000009,CUST000006,Money Market,839484226631,15903.66,2023-08-22,0.0274,Dormant
ACC000010,CUST000006,Checking,349131565366,10085.2,2022-10-06,0.0001,Active
ACC000011,CUST000007,Checking,452282325348,1516.91,2025-01-21,0.0001,Active
ACC000012,CUST000008,Money Market,934965775833,35345.76,2023-01-20,0.0269,Active
ACC000013,CUST000009,Checking,641231540244,6337.08,2025-04-05,0.0001,Closed
ACC000014,CUST000010,Checking,270349141052,836.69,2025-03-02,0.0001,Active
ACC000015,CUST000011,Checking,427212645436,7817.55,2025-06-08,0.0001,Active
ACC000016,CUST000012,Money Market,746726986301,13860.86,2023-11-09,0.0338,Active
ACC000017,CUST000013,Savings,821702671996,20291.48,2019-04-01,0.0114,Dormant
ACC000018,CUST000014,Checking,756160384952,5234.24,2023-08-16,0.0001,Active
ACC000019,CUST000015,Savings,879561410966,8562.5,2025-06-11,0.0114,Dormant
ACC000020,CUST000015,Savings,578908850690,17555.22,2021-03-28,0.0138,Active
ACC000021,CUST000016,Checking,112027302385,11698.85,2019-10-09,0.0001,Active
ACC000022,CUST000016,Money Market,292072230335,54042.71,2024-04-02,0.0347,Active
ACC000023,CUST000016,Checking,111399773879,5649.85,2021-07-22,0.0001,Active
ACC000024,CUST000017,Checking,084229665144,7194.92,2024-03-16,0.0001,Active
ACC000025,CUST000018,Checking,620681484991,4740.18,2023-12-19,0.0001,Active
ACC000026,CUST000018,Savings,981130084339,7555.97,2023-07-26,0.0124,Active
ACC000027,CUST000019,Savings,963305074950,24383.33,2020-03-19,0.0274,Active
ACC000028,CUST000020,Checking,028441616936,1108.07,2023-06-28,0.0001,Active
ACC000029,CUST000020,Checking,381370574103,6017.39,2022-07-07,0.0001,Active
ACC000030,CUST000021,Checking,415258385163,7730.52,2025-09-15,0.0001,Active
ACC000031,CUST000021,Savings,668471329010,0.0,2025-08-08,0.0277,Active
ACC000032,CUST000021,Savings,511858110146,30768.65,2025-08-08,0.0109,Active
ACC000033,CUST000022,Checking,682890140812,1110.68,2024-05-20,0.0001,Active
ACC000034,CUST000022,Checking,766027168927,3474.7,2023-12-30,0.0001,Active
ACC000035,CUST000023,Savings,718193834770,28051.59,2025-01-07,0.017,Active
ACC000036,CUST000024,Savings,080282131148,22067.97,2022-04-26,0.0135,Active
ACC000037,CUST000025,Money Market,444697894259,18310.65,2022-06-22,0.0283,Active
ACC000038,CUST000025,Money Market,197689334500,51956.65,2021-06-04,0.0252,Active
ACC000039,CUST000026,Checking,766170616684,5849.27,2025-08-20,0.0001,Dormant
ACC000040,CUST000027,Savings,098728481818,18460.79,2020-09-19,0.0178,Active
ACC000041,CUST000028,Savings,557247721396,9336.47,2019-11-15,0.0271,Active
ACC000042,CUST000029,Checking,417231901706,1374.85,2021-09-14,0.0001,Active
ACC000043,CUST000030,Money Market,185893584047,13225.18,2019-08-08,0.0208,Dormant
ACC000044,CUST000030,Checking,265656416566,3709.09,2020-01-30,0.0001,Active
ACC000045,CUST000031,Checking,112070180589,6696.67,2025-03-17,0.0001,Active
ACC000046,CUST000032,Checking,625525761503,8521.2,2022-05-21,0.0001,Active
ACC000047,CUST000033,Savings,808618683043,21200.37,2025-08-16,0.0156,Active
ACC000048,CUST000033,Savings,101339893090,15880.35,2021-04-12,0.0156,Active
ACC000049,CUST000033,Checking,849014056502,7781.26,2024-07-09,0.0001,Active
ACC000050,CUST000034,Checking,909590279904,9849.73,2024-10-23,0.0001,Active
ACC000051,CUST000035,Money Market,183864883626,55118.36,2020-05-01,0.0317,Dormant
ACC000052,CUST000036,Savings,717752969426,11563.91,2021-12-02,0.0225,Active
ACC000053,CUST000037,Savings,814124527705,41149.22,2025-04-16,0.0108,Active
ACC000054,CUST000038,Checking,244818886789,3769.85,2021-05-23,0.0001,Active
ACC000055,CUST000038,Money Market,870741420134,1450.95,2025-08-06,0.0367,Active
ACC000056,CUST000038,Savings,281404624786,22801.94,2021-08-08,0.0237,Active
ACC000057,CUST000038,Checking,362733089034,3752.9,2023-09-03,0.0001,Active
ACC000058,CUST000038,Checking,321095496861,3937.39,2021-08-25,0.0001,Active
ACC000059,CUST000039,Savings,998467617099,21773.47,2019-02-13,0.0174,Active
ACC000060,CUST000039,Checking,257621090280,6703.24,2019-08-27,0.0001,Active
