card_id,customer_id,card_number,expiry_date,credit_limit,current_balance,available_credit,issue_date,card_type,status
CARD000001,CUST001079,9494183389556716,2028-12-09,8877,2199,6678,2023-09-14,American Express,Inactive
CARD000002,CUST002890,0419380202301745,2029-10-24,13796,3112,10684,2020-11-21,MasterCard,Active
CARD000003,CUST002304,3388792207269272,2028-08-06,17543,12880,4663,2021-06-28,MasterCard,Active
CARD000004,CUST002302,2857384537174467,2027-04-17,4720,1365,3355,2025-05-21,Visa,Active
CARD000005,CUST000108,2911738328375668,2026-05-31,9653,3572,6081,2018-11-13,MasterCard,Active
CARD000006,CUST004027,3890662844124456,2028-09-25,12494,6150,6344,2025-07-14,Visa,Active
CARD000007,CUST004134,4234478239999071,2027-02-07,4798,1862,2936,2023-04-11,Visa,Active
CARD000008,CUST003207,6433838752687738,2025-10-08,11408,171,11237,2024-12-07,American Express,Blocked
CARD000009,CUST001184,8086132124426709,2027-05-23,7878,1648,6230,2025-01-25,MasterCard,Active
CARD000010,CUST003832,5191826039419433,2027-09-04,13647,4692,8955,2024-09-26,Visa,Active
CARD000011,CUST000319,2942386009100190,2029-10-08,5044,3461,1583,2020-01-19,Visa,Active
CARD000012,CUST003490,5348526615957138,2027-05-26,7531,391,7140,2025-08-30,Visa,Active
CARD000013,CUST003280,5531808305931229,2025-09-30,7712,952,6760,2024-02-24,American Express,Active
CARD000014,CUST000607,1392760336187759,2027-10-26,8275,4570,3705,2022-06-25,Visa,Active
CARD000015,CUST002094,7177602681755638,2026-07-25,1000,66,934,2024-06-27,American Express,Active
CARD000016,CUST001975,2970804262568192,2029-04-02,12761,9845,2916,2023-12-15,American Express,Active
CARD000017,CUST004377,3752319167256579,2029-06-12,6537,5000,1537,2021-02-03,Visa,Active
CARD000018,CUST002371,1994881830299289,2029-06-04,8704,4744,3960,2023-11-09,Visa,Active
CARD000019,CUST001377,3696319959815057,2026-12-31,3149,1345,1804,2017-06-27,American Express,Active
CARD000020,CUST004125,7104523673191147,2029-02-27,15438,6567,8871,2024-06-26,American Express,Active
CARD000021,CUST004575,3963197169115553,2029-01-05,13774,4850,8924,2022-01-14,American Express,Active
CARD000022,CUST002200,0315586234414398,2028-10-08,4859,39,4820,2022-09-29,Visa,Active
CARD000023,CUST003541,8319740936584858,2025-11-05,7348,4487,2861,2025-08-21,Visa,Active
CARD000024,CUST003803,0058256375922537,2030-07-27,7882,1568,6314,2023-11-25,MasterCard,Active
CARD000025,CUST003573,2734651067988091,2028-07-11,9822,2682,7140,2019-02-22,Visa,Active
CARD000026,CUST002047,5918418411753657,2026-06-25,11698,4182,7516,2025-07-08,American Express,Active
CARD000027,CUST001057,5594409867580234,2026-02-11,8917,121,8796,2023-04-02,MasterCard,Active
CARD000028,CUST002688,7871250909701335,2027-02-05,13206,7365,5841,2021-03-18,MasterCard,Active
CARD000029,CUST002701,3323302608186569,2028-01-28,3784,1407,2377,2020-01-01,American Express,Active
CARD000030,CUST004972,4101066045961636,2026-12-19,4778,1846,2932,2023-08-19,American Express,Active
CARD000031,CUST004170,1564094219431033,2028-10-06,11519,2305,9214,2022-05-15,Visa,Active
CARD000032,CUST004933,7744408850930281,2027-11-24,6214,2924,3290,2025-06-28,MasterCard,Active
CARD000033,CUST000342,0945479281692543,2027-02-02,11180,6531,4649,2025-04-04,American Express,Active
CARD000034,CUST003931,7869323688792573,2029-09-06,6645,3924,2721,2025-01-09,Visa,Inactive
CARD000035,CUST003001,7532612393815742,2030-02-15,11693,2810,8883,2024-03-26,Visa,Active
CARD000036,CUST004805,6246221582505765,2027-08-14,1000,397,603,2021-04-18,MasterCard,Active
