customer_id,first_name,last_name,email,phone,address,city,state,zip_code,date_of_birth,ssn,customer_since,credit_score,annual_income,employment_status,branch_id
CUST000001,Barbara,Bush,stanleykendra@example.org,516.647.5255,283 Steven Groves,Lake Mark,WI,07832,1999-04-26,235055169,2022-07-24,850,60003,Self-Employed,BR0007
CUST000002,Joseph,Clark,jason76@example.net,724.523.8849x696,710 Eric Estate,Carlsonfurt,MS,78605,1972-11-15,480684120,2025-02-23,600,117119,Employed,BR0019
CUST000003,Michelle,Smith,maldonadoamanda@example.com,001-551-446-2704x82814,88095 Smith Lake Suite 303,North Jessicaland,WV,70323,1980-03-18,785172104,2023-10-28,629,69374,Self-Employed,BR0020
CUST000004,Stacey,Martin,ibrandt@example.net,001-734-265-7871x331,301 Jeremy Bypass,Chadbury,KY,88185,2000-12-02,498288835,2017-12-27,588,46732,Employed,BR0014
CUST000005,Jennifer,Khan,esanchez@example.com,311.265.6670,513 James Mission Apt. 624,Wrightland,NV,72633,1999-05-23,101078857,2015-12-27,835,62702,Employed,BR0007
CUST000006,Tanya,House,gabrieltucker@example.org,(502)660-6474x6872,98050 Breanna Parkway,North Susan,CO,24857,1997-01-01,071771114,2019-09-27,697,87114,Employed,BR0010
CUST000007,Richard,David,bethwilliams@example.org,(799)385-4353x46247,9911 William Curve,Nicolebury,MN,37854,1995-12-19,162578901,2020-11-18,850,62144,Employed,BR0016
CUST000008,Cheryl,Archer,contrerasangela@example.net,524-711-8244,487 Whitehead Vista,North Cynthiaview,AZ,00965,1955-06-02,342992144,2020-03-11,841,67111,Self-Employed,BR0013
CUST000009,Evan,Ramos,hhoffman@example.org,001-728-205-9826x204,31586 Sara Freeway Apt. 260,Lake Sandra,WY,54465,1940-04-10,822864066,2020-04-10,616,61147,Employed,BR0019
CUST000010,Erik,Haynes,ebrennan@example.org,775.643.3036,5868 Crosby Crescent,Gregoryview,AZ,14709,1980-06-18,611565664,2021-01-27,703,69985,Employed,BR0018
CUST000011,Samuel,Joyce,cruzbarbara@example.com,7607883561,484 Nguyen Square,Angelaborough,MT,87654,2000-06-01,389872852,2025-06-02,641,60000,Employed,BR0014
CUST000012,Kevin,Kelley,torresjason@example.net,+1-757-377-3872x148,433 Andrew Gardens,Carrland,NH,54822,1988-10-27,645743186,2022-04-08,757,118601,Employed,BR0018
CUST000013,Troy,Sanchez,staffordmichelle@example.org,001-763-928-7083x17278,727 Green Gateway Suite 873,Scottport,IA,36115,1983-07-07,344418850,2017-02-08,830,87339,Retired,BR0018
CUST000014,Devon,Hall,jasminebrown@example.com,787-660-3669x09670,8893 Robinson Mews Suite 065,Ramseymouth,PW,17229,2007-08-16,638690442,2022-06-10,618,28870,Employed,BR0013
CUST000015,Brittany,Alvarado,dayderek@example.com,(804)665-3755,1708 Zoe Keys Apt. 100,East Mary,RI,20474,2001-05-21,245177759,2017-09-06,850,27857,Self-Employed,BR0016
CUST000016,Anne,Robinson,katie29@example.net,001-512-341-9049x6631,919 Michael Meadow Suite 185,Port Robertfort,CT,57323,1995-06-16,371827533,2018-05-04,517,66449,Employed,BR0017
CUST000017,Ryan,Gross,christina87@example.com,(294)953-1473x79965,73545 Beard Squares Suite 808,North John,MT,64539,1991-08-26,569983938,2023-11-02,728,35000,Employed,BR0003
CUST000018,Debbie,Henry,davisjeffrey@example.net,749.757.8856,4431 Leslie Summit Apt. 337,Jennyhaven,PA,37594,1979-12-24,103254854,2019-08-10,521,114964,Employed,BR0013
CUST000019,Michael,Turner,joshuamccann@example.net,627-910-9477x7520,67190 Edward Port,Christopherbury,DE,73648,2003-02-11,783549934,2019-07-30,564,27291,Retired,BR0004
CUST000020,Kimberly,James,levans@example.com,399-409-1334x1232,7974 Jesse Squares,Jacquelinemouth,CA,90597,2004-01-17,240349664,2019-02-07,850,37342,Self-Employed,BR0017
CUST000021,Ronald,Stephens,rebekahserrano@example.org,6248994717,877 Carly Meadows Suite 940,East Suzanneshire,OR,03220,2002-10-29,784874416,2025-07-16,652,44924,Employed,BR0009
CUST000022,Billy,Avila,cstone@example.com,(796)371-7565,6746 Shawn Island,Marcusfurt,VI,67950,1985-09-11,845018890,2023-08-06,828,69665,Employed,BR0015
CUST000023,Robert,Lopez,cindy77@example.org,548.424.7710,086 Jeffrey Ville Apt. 712,Cantuport,NY,92960,1982-12-25,280547906,2023-10-09,716,111821,Employed,BR0010
CUST000024,John,Arnold,mlee@example.net,001-921-446-5840x4499,755 Gibson Islands Apt. 396,Port Kimberly,AZ,42205,1999-04-04,763616247,2022-04-22,811,53387,Self-Employed,BR0005
CUST000025,Vanessa,Sparks,tylerjohnson@example.net,001-851-471-8702,4596 Melissa Walk,Finleyfort,VI,71413,1953-07-24,037801122,2019-09-24,511,75634,Employed,BR0002
CUST000026,Crystal,Mccall,juliehamilton@example.org,001-517-824-0050x45562,21969 Tyler Prairie,East Steven,KS,60737,1966-07-02,262860154,2023-08-26,536,133916,Employed,BR0001
CUST000027,Rachel,Byrd,charleslandry@example.net,664-674-3671x3695,640 Renee Summit,Wallport,WI,30663,1973-04-25,622463589,2018-12-21,772,107755,Employed,BR0018
CUST000028,Christine,Byrd,courtneyberger@example.net,7478095214,28588 Rivas Glens,Coffeyport,WA,44897,1999-08-06,824157674,2017-01-06,576,74538,Employed,BR0017
CUST000029,Donald,Levy,zcoffey@example.net,(716)304-8175x496,0985 Deborah Roads,Blankenshipport,SD,54017,2004-05-25,120180743,2016-05-15,717,26140,Self-Employed,BR0007
CUST000030,Kevin,Vasquez,youngamanda@example.com,258.769.2617x964,7351 Stephens Rue,Bruceview,ID,16512,1997-10-29,869591502,2019-05-06,732,88838,Retired,BR0017
CUST000031,Darlene,Harper,williamsmatthew@example.org,001-431-283-9335,28421 David Knolls Apt. 950,West Brian,WA,55677,1993-04-21,539151042,2023-11-03,589,59231,Retired,BR0006
CUST000032,Shane,Cox,hayesjeffrey@example.net,3849700766,15921 Joshua Roads Suite 698,Shawnchester,CT,92484,1975-03-17,118849034,2019-05-25,739,100764,Employed,BR0015
CUST000033,Russell,Beasley,dmorgan@example.com,(315)765-4527x11116,098 Santiago Loop,Morganchester,VI,95011,1971-02-11,053379838,2021-01-19,589,155597,Self-Employed,BR0003
CUST000034,Michael,Lane,ericolson@example.org,(285)614-9368x998,44550 Molly Port,Jonestown,CO,98295,1965-11-02,544286164,2022-11-17,784,63365,Retired,BR0019
CUST000035,Shawn,Moore,jennifer99@example.org,9229901476,3815 Rodriguez Springs Suite 840,South Tracey,AR,01508,1993-01-25,210393461,2018-01-26,761,59723,Unemployed,BR0017
CUST000036,Kathryn,Roberts,smithjulie@example.org,(268)838-8516,1596 Mckinney Mall,Dariustown,MD,23028,1981-06-03,821807539,2021-11-22,712,70626,Employed,BR0015
CUST000037,Christopher,Richard,ryanmorales@example.org,(745)435-2181x8835,24329 Kathleen Shoal,East Stephaniefort,NH,99387,1971-03-07,578989495,2023-05-17,694,157628,Employed,BR0009
CUST000038,Erin,Macias,michelle52@example.com,377-644-9058,0054 Deanna Walk Apt. 998,Fordside,WY,97352,1961-02-07,043589367,2018-12-09,598,115368,Employed,BR0011
CUST000039,Marc,Alvarez,susanhayes@example.com,001-718-720-3778x892,6590 Jones Court Suite 449,West Christopher,TN,19038,1968-08-02,359406422,2017-12-06,624,82013,Employed,BR0011
CUST000040,Brooke,Hurley,angelica52@example.net,001-981-568-5054x235,21418 Ebony Wells,New Nicholas,GA,24204,1983-09-07,852892713,2023-03-08,850,78316,Self-Employed,BR0019
CUST000041,Bradley,Diaz,tarabishop@example.net,838.834.7359x774,92407 Spencer Cove,West Christopherburgh,KY,59394,1999-04-07,526197168,2017-04-18,724,54712,Unemployed,BR0008
CUST000042,Stacey,Walker,bwilkerson@example.com,2687536153,522 Justin Village,Hortonberg,WV,92977,1985-02-26,481580087,2017-01-31,843,98992,Self-Employed,BR0015
CUST000043,Andrew,Lewis,anaacosta@example.net,(214)534-1036x97117,6095 Ashley Ferry,New Theresaland,NC,71814,1941-01-18,520659080,2016-01-31,711,41564,Self-Employed,BR0005
CUST000044,Peter,Harrison,qzavala@example.net,2517531952,277 Lisa Circles Suite 043,Port Jameston,MD,41143,1967-09-17,528518898,2023-10-16,688,91442,Retired,BR0009
CUST000045,Jon,Mullins,justinatkins@example.org,+1-754-615-6676x5277,616 Amy Islands,North Markport,ME,58948,1963-06-06,618926982,2018-07-28,745,135972,Retired,BR0008
CUST000046,Hannah,Bell,acostarhonda@example.net,(340)516-5820x29702,6909 Erika Land Suite 719,New Michael,MD,85640,1979-09-24,286321859,2016-03-06,714,61801,Self-Employed,BR0012
CUST000047,Jill,Porter,hmcintyre@example.com,001-347-739-4731x21727,188 Vance Vista Apt. 258,North Tracie,WY,18703,1990-08-09,243640431,2021-11-16,623,70335,Retired,BR0019
CUST000048,Angela,Wood,cherylmiller@example.com,(778)466-9125x1778,68018 Kevin Estates,Sarahbury,MI,68513,1973-03-21,291114106,2019-01-28,554,147975,Employed,BR0020
CUST000049,Cynthia,Pierce,colleenmendez@example.org,629.592.2995x90010,078 May Hollow Suite 364,Joneston,GA,58120,1960-09-22,426627610,2019-03-17,655,95462,Employed,BR0014
